id,metro_region,lat,long
AD/ALV,Andorra la Vella,42.5,1.5166667
AD/CAN,Canillo,42.566666,1.5833334
AD/ENC,Encamp,42.533333,1.5666667
AD/ESC,Escaldes-Engordany,42.516666,1.55
AD/EAC,Escàs,42.55,1.5166667
AD/LMA,La Massana,42.566666,1.4833333
AD/ORD,Ordino,42.55,1.5166667
AD/PAS,Pas de la Casa,42.55,1.7333333
AD/SJL,Sant Julià de Lòria,42.466667,1.5
AD/SCO,Santa Coloma,42.5,1.5
AE/ABU,Abu al Bukhoosh,25.483334,53.133335
AE/AUH,Abu Dhabi,24.466667,54.366665
AE/AMU,Abu Musa,25.866667,55.016666
AE/ARP,Ahmed Bin Rashid Port,25.533333,55.55
AE/AWE,Al Aweer,25.183332,55.55
AE/ALB,Al Barsha,25.1,55.183334
AE/DHF,Al Dhafra,24.233334,54.533333
AE/FJR,Al Fujayrah,25.116667,56.333332
AE/HAM,Al Hamriyah,25.483334,55.5
AE/JAZ,Al Jazeera Port,25.716667,55.8
AE/AJP,Al Jeer Port,26.033333,56.05
AE/DBI,Al Mafraq,24.3,54.6
AE/ALQ,Al Quoz,25.116667,55.216667
AE/ALS,Al Sufouh,25.116667,55.183334
AE/RUW,Ar Ruways,24.116667,52.733334
AE/DER,Deira,25.266666,55.316666
AE/DBP,Dibba,25.616667,56.266666
AE/DXB,Dubai,25.25,55.266666
AE/DWC,Dubai World Central Apt,24.883333,55.166668
AE/END,Esnnad,24.316668,54.45
AE/FRP,Free Port,25.25,55.25
AE/HAB,Habshan,23.933332,53.633335
AE/HIL,Hail,35.0,33.5
AE/HZP,Hamriya Free Zone Port,25.3,55.316666
AE/HSN,Hassyan,24.9,54.9
AE/HAT,Hatta,24.783333,56.116665
AE/HTL,Hulaylah Terminal,25.983334,55.933334
AE/QWE,Jebel Ali Free Zone,25.0,55.05
AE/SZE,Jebel Ali Free Zone (South),24.95,55.116665
AE/IDA,Jebel Ali Industrial Area,25.0,55.116665
AE/JYH,Jumayrah,25.166666,55.216667
AE/KLB,Kalba,25.066668,56.35
AE/KLF,Khor al Fakkan,25.333334,56.35
AE/MKH,Mina Khalid,25.35,55.366665
AE/KHL,Mina Khalifa/Abu Dhabi,24.833334,54.666668
AE/MRP,Mina Rashid Port,25.266666,55.283333
AE/MSA,Mina Saqr,25.966667,56.066666
AE/MZD,Mina Zayed/Abu Dhabi,24.516666,54.366665
AE/RFA,Mirfa,25.466667,53.483334
AE/MBS,Mubarras Island,24.583334,53.316666
AE/AMF,Musaffah,24.383333,54.483334
AE/OFJ,Offshore Fujairah,25.25,56.666668
AE/RKP,Rak Khor Port,25.816668,55.95
AE/RMC,Rak Maritime City,25.95,56.05
AE/RKT,Ras al Khaimah,25.783333,55.95
AE/RAK,Ras Al Khor,25.283333,55.566666
AE/REI,Reem Island,24.483334,54.4
AE/RWP,Ruwais Port,24.1,52.716667
AE/SID,Sadiyat Island,24.533333,54.4
AE/SZS,Saif Zone,25.333334,55.483334
AE/SHJ,Sharjah,25.35,55.383335
AE/SIL,Sila,24.066668,51.75
AE/SRT,Stevin Rock,25.966667,56.05
AE/SWE,Swaihan,24.45,55.333332
AE/ULR,Umm Al Nar,24.433332,54.5
AE/QIW,Umm al Quwain,25.583334,55.583332
AE/VHT,Vopak Horizion Terminal,25.616667,56.266666
AE/YAS,Yas Island,24.316668,52.6
AE/ZUR,Zirku Island,24.883333,53.066666
AF/ASH,Ali Shirzayi,32.866665,66.05
AF/BAG,Bagram,34.95,69.25
AF/BEP,Bazar-E-Panjwai,31.55,65.45
AF/CBN,Camp Bastion,31.85,64.21667
AF/CDW,Camp Dwyer,31.116667,64.183334
AF/CLN,Camp Leatherneck,31.883333,64.183334
AF/CSO,Camp Salerno,33.4,70.066666
AF/CWO,Camp Wolverine,32.066666,67.2
AF/CCN,Chaghcharan,34.516666,65.25
AF/DHD,Dehdadi,36.65,66.98333
AF/ISQ,Eslam Qal'eh,34.666668,61.066666
AF/FRO,FOB Frontenac,31.616667,65.65
AF/RMD,FOB Ramrod,31.75,65.11667
AF/SHK,FOB Shank,34.0,69.28333
AF/GAR,Gardiz,33.583332,69.21667
AF/KMU,Kamu,35.4,71.416664
AF/KHO,Khowst,35.2,70.833336
AF/KWT,Khowst,33.333332,69.916664
AF/LAG,Lashkar Gah,31.583334,64.35
AF/MWD,Maiwand,31.733334,65.13333
AF/MZR,Mazar-i-Sharif,36.7,67.1
AF/MEH,Mehtar Lam,34.666668,70.2
AF/MEY,Meydan,36.9,66.916664
AF/ORG,Orgun-E Kalan,32.9,69.21667
AF/PSD,Pasaband,33.683334,64.85
AF/PEC,Pol-e Charkhi,34.533333,69.333336
AF/QLT,Qalat,32.1,66.88333
AF/QYN,Qal'Eh-Ye Now,34.983334,63.116665
AF/QAM,Qasim,35.033333,71.53333
AF/SRO,Sharona,33.216667,69.38333
AF/SHE,Sherhan-Bandar,37.2,69.083336
AF/SDD,Shindand,33.3,62.133335
AF/SBK,Spin Boldak,31.0,66.4
AF/TKO,Tarin Kowt,32.616665,65.86667
AF/RKH,Torkham,34.883335,71.916664
AF/TOW,Towraghondi,35.25,62.283333
AF/ZHA,Zhari Dasht,31.633333,65.51667
AG/FAM,Falmouth,17.016666,-61.78333282470703
AG/PHM,Parham,17.083334,-61.75
AG/SJO,Saint John's,17.116667,-61.849998474121094
AI/CRH,Crocus Hill,18.216667,-63.06666564941406
AI/MBB,Meads Bay Beach,18.166666,-63.13333511352539
AI/SOM,Sombrero,18.6,-63.46666717529297
AI/VAL,The Valley,18.216667,-63.04999923706055
AL/ARG,Argyrokastro,40.116665,20.216667
AL/BRT,Berat,40.716667,19.95
AL/BQE,Bulqizë,41.483334,20.216667
AL/BUT,Butrint,39.75,20.016666
AL/NPP,Elbasan,41.1,20.066668
AL/FIE,Fier,40.733334,19.566668
AL/FUS,Fushe Arrez,42.05,20.016666
AL/GOK,Gjirokastër,40.083332,20.15
AL/HMR,Himare,40.133335,19.716667
AL/KRC,Korçë,40.616665,20.766666
AL/KKU,Kukës,42.083332,20.416666
AL/LZE,Lezhe,41.783333,19.633333
AL/LUS,Lushnjë,40.933334,19.7
AL/MBR,Mbreshtan,40.7,19.866667
AL/MIL,Milot,41.666668,19.716667
AL/ROM,Romano Port,41.366665,19.416666
AL/SAR,Sarandë,39.883335,20.0
AL/SHG,Shëngjin,41.8,19.566668
AL/SHK,Shkoder,42.066666,19.516666
AL/SHZ,Shkozet,42.033333,19.566668
AL/VOA,Vlorë,40.466667,19.483334
AL/VOR,Vore,41.383335,19.65
AM/ABO,Abovyan,40.266666,44.783333
AM/A3A,Aparan,40.583332,44.35
